Team,Player Name,Player Type,Bowling_T20_M,Bowling_T20_Inn,Bowling_T20_B,Bowling_T20_Runs,Bowling_T20_Wkts,Bowling_T20_Avg,Bowling_T20_Econ,Bowling_T20_SR,Bowling_T20_BBI,Bowling_T20_BBM,Bowling_T20_5w,Bowling_T20_10w,Bowling_IPL_M,Bowling_IPL_Inn,Bowling_IPL_B,Bowling_IPL_Runs,Bowling_IPL_Wkts,Bowling_IPL_Avg,Bowling_IPL_Econ,Bowling_IPL_SR,Bowling_IPL_BBI,Bowling_IPL_BBM,Bowling_IPL_5w,Bowling_IPL_10w
RCB,Jacob Bethell,BAT,10,1,18,28,0,0.0,9.33,0.0,0/28,0/28,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
RCB,Rasikh Salam,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,13,13,231,409,10,40.9,10.62,23.1,3/34,3/34,0,0
RCB,Yash Dayal,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,33,33,678,1074,34,31.59,9.5,19.94,3/20,3/20,0,0
RCB,Manoj Bhandage,ALL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
RCB,Nuwan Thushara,BOWL,18,18,341,435,26,16.73,7.65,13.12,5/20,5/20,1,0,7,7,156,257,8,32.13,9.88,19.5,3/28,3/28,0,0
RCB,Romario Shepherd,ALL,53,49,944,1542,56,27.54,9.8,16.86,4/31,4/31,0,0,10,8,126,257,4,64.25,12.24,31.5,2/42,2/42,0,0
RCB,Tim David,BAT,54,11,164,255,5,51.0,9.33,32.8,1/18,1/18,0,0,43,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
RCB,Devdutt Padikkal,BAT,2,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,69,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
RCB,Krunal Pandya,ALL,19,19,410,554,15,36.93,8.11,27.33,4/36,4/36,0,0,132,122,2212,2759,83,33.24,7.48,26.65,4/45,4/45,0,0
RCB,Rajat Patidar,BAT,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,32,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
